id,merged,dsh1,dshpct,beds,bed_days,medicare_days,medicaid_days,days,employees,medicare_disch,medicaid_disch,discharges,status_cat,state_cat,city_cat,county_cat
271336,0.0,,,25.0,9125.0,2029.0,950.0,6000.0,225.309997558594,484.0,196.0,1506.0,3,28,3065,536
271337,0.0,,,20.0,7320.0,769.0,22.0,908.0,65.4800033569336,97.0,10.0,151.0,3,28,670,583
271338,0.0,,,25.0,9125.0,2555.0,1461.0,4883.0,99.9700012207031,153.0,86.0,293.0,3,28,1179,137
271339,0.0,,,24.0,8784.0,57.0,,993.0,239.0,10.0,,298.0,3,28,653,137
271340,0.0,,,25.0,9125.0,3153.0,461.0,5379.0,344.790008544922,703.0,144.0,1472.0,2,28,1165,1264
271341,0.0,,,22.0,8030.0,275.0,410.0,1258.0,223.339996337891,82.0,155.0,370.0,3,28,3123,1311
271342,0.0,,,25.0,9125.0,855.0,9.0,4670.0,49.0800018310547,48.0,4.0,73.0,2,28,2525,410
271343,0.0,,,22.0,8052.0,1209.0,585.0,2558.0,158.649993896484,254.0,140.0,613.0,2,28,2236,833
271344,0.0,,,25.0,9125.0,1535.0,193.0,3190.0,294.559997558594,315.0,55.0,998.0,3,28,2584,1282
271345,0.0,,,25.0,9125.0,1640.0,241.0,3025.0,217.210006713867,365.0,51.0,693.0,3,28,1563,530
271346,0.0,,,25.0,9125.0,1182.0,10.0,7175.0,56.8600006103516,70.0,3.0,94.0,3,28,2433,1040
271347,0.0,,,25.0,8354.0,2684.0,903.0,4952.0,231.880004882812,506.0,307.0,1571.0,2,28,1800,399
272001,0.0,,,40.0,14600.0,5568.0,1691.0,10356.0,134.110000610352,202.0,60.0,368.0,3,28,256,1732
274004,0.0,,,20.0,7300.0,,4668.0,6492.0,128.960006713867,,394.0,593.0,3,28,1226,877
274086,0.0,,,174.0,63510.0,6037.0,,63510.0,419.799987792969,176.0,,543.0,3,28,2964,427
280003,0.0,6851730.0,0.0952999964356422,554.0,165032.0,34437.0,9996.0,84472.0,2526.0,7948.0,3537.0,21632.0,4,31,1573,840
280009,0.0,1410458.0,0.0445000007748604,203.0,74095.0,18668.0,6167.0,39523.0,1037.47998046875,3545.0,1209.0,8629.0,2,31,1406,197
280013,0.0,11287310.0,0.149599999189377,492.0,179446.0,41639.0,19540.0,122337.0,5147.0,7349.0,5002.0,23917.0,4,31,2059,461
280020,0.0,3682404.0,0.0891000032424927,260.0,94900.0,22174.0,8058.0,54212.0,1193.65002441406,5011.0,2206.0,13814.0,2,31,1573,840
280023,0.0,1375809.0,0.0701000019907951,146.0,53290.0,11919.0,4357.0,25009.0,938.690002441406,2652.0,1328.0,6307.0,2,31,1097,638
